code,Volume,Unit,Packing,Brand,Variant,Sub_Variant,Product_Name,Category,Supplier,Description,Weight,Weight_Unit,CBM_Length,CBM_Width,CBM_Height,CBM_Volume,Status
ASCM20,20,grams,48,Aling Sosy,Powdered mix,Powdered mix,Chiz Me,Condiments & Spices,Alphapalooza Inc.,20g/10's/48 Aling Sosy Chiz Me,10,kl,4,4,4,64,1
ASCM200,200,grams,25,Aling Sosy,Powdered mix,Powdered mix,Chiz Me,Condiments & Spices,Alphapalooza Inc.,200g/5's/25 Aling Sosy Chiz Me,10,kl,4,4,4,64,1
ASHB20,20,grams,48,Aling Sosy,Powdered mix,Powdered mix,Honey Butter,Condiments & Spices,Alphapalooza Inc.,20g/10's/48 Aling Sosy Honey Butter,10,kl,4,4,4,64,1
ASHB200,200,grams,25,Aling Sosy,Powdered mix,Powdered mix,Honey Butter,Condiments & Spices,Alphapalooza Inc.,200g/5's/25 Aling Sosy Honey Butter,10,kl,4,4,4,64,1
BBQM200,200,grams,25,Aling Sosy,Powdered mix,Powdered mix, BBQ Me,Condiments & Spices,Alphapalooza Inc.,200g/5's/25 Aling Sosy BBQ Me,10,kl,4,4,4,64,1
BBQME20,20,grams,48,Aling Sosy,Powdered mix,Powdered mix,BBQ Me,Condiments & Spices,Alphapalooza Inc.,20g/10's/48 Aling Sosy BBQ Me,10,kl,4,4,4,64,1
KF62G,62,grams,30,Kusina King,Powdered mix,Powdered mix,Krunchy Fry,Condiments & Spices,Alphapalooza Inc.,62g/10's/30 Kusina King Krunchy Fry,10,kl,4,4,4,64,1
KKBW1KG,1,grams,25,Kusina King,Baking mix,Baking mix,Belgian Waffle & Pancake Mix,Baking,Alphapalooza Inc.,1kg/25 Kusina King Belgian Waffle & Pancake Mix,10,kl,4,4,4,64,1
MKLLEMIT500,500,grams,40,Mr. Kool,Powdered Juice,Powdered Juice,Palamig Lemon Ice Tea,Beverages,Alphapalooza Inc.,500g/40 Mr. Kool Palamig Lemon Ice Tea,10,kl,4,4,4,64,1
MKPC500,500,grams,40,Mr. Kool,Powdered Juice,Powdered Juice, Palamig Chocolate,Beverages,Alphapalooza Inc.,500g/40 Mr. Kool Palamig Chocolate,10,kl,4,4,4,64,1
MKPP500,500,grams,40,Mr. Kool,Powdered Juice,Powdered Juice,Palamig Pineapple,Beverages,Alphapalooza Inc.,500g/40 Mr. Kool Palamig Pineapple,10,kl,4,4,4,64,1
MKPSG1KG,1,grams,25,Mr. Kool,Powdered Juice,Powdered Juice,Palamig Sago't Gulaman,Beverages,Alphapalooza Inc.,1Kg/25 Mr. Kool Palamig Sago't Gulaman,10,kl,4,4,4,64,1
MKPSG500,500,grams,40,Mr. Kool,Powdered Juice,Powdered Juice,Palamig Sago't Gulaman,Beverages,Alphapalooza Inc.,500g/40 Mr. Kool Palamig Sago't Gulaman,10,l,4,4,4,64,1
